Strain1,Strain2,Distance
A/NEW_JERSEY/8/1976,A/CALIFORNIA/04/2009,5.65685424949
A/NEW_JERSEY/8/1976,A/CALIFORNIA/07/2009,4.0
A/NEW_JERSEY/8/1976,A/ENGLAND/195/2009,4.0
A/NEW_JERSEY/8/1976,A/AUCKLAND/3/2009,2.0
A/NEW_JERSEY/8/1976,A/BAYERN/69/2009,11.313708499
A/NEW_JERSEY/8/1976,A/LVIV/N6/2009,11.313708499
A/SWINE/IOWA/1930,A/NEW_JERSEY/8/1976,2.82842712475
A/SWINE/IOWA/1930,A/WISCONSIN/10/1998,128.0
A/SWINE/IOWA/1930,A/TEXAS/14/2008,32.0
A/SWINE/IOWA/1930,A/ILLINOIS/09/2007,64.0
A/SWINE/IOWA/1930,A/IOWA/02/2009,90.5096679919
A/SWINE/IOWA/1930,A/CALIFORNIA/07/2009,64.0
A/SWINE/IOWA/1930,A/MEXICO/4108/2009,32.0
A/SWINE/IOWA/1930,A/NEW_YORK/18/2009,64.0
A/SWINE/IOWA/1930,A/TEXAS/15/2009,64.0
A/NEW_JERSEY/8/1976,A/WISCONSIN/10/1998,32.0
A/NEW_JERSEY/8/1976,A/TEXAS/14/2008,22.627416998
A/NEW_JERSEY/8/1976,A/ILLINOIS/09/2007,45.2548339959
A/NEW_JERSEY/8/1976,A/IOWA/02/2009,45.2548339959
A/NEW_JERSEY/8/1976,A/MEXICO/4108/2009,90.5096679919
A/NEW_JERSEY/8/1976,A/NEW_YORK/18/2009,128.0
A/NEW_JERSEY/8/1976,A/TEXAS/15/2009,128.0
A/NEW_JERSEY/8/1976,A/CALIFORNIA/07/2009_X_179A,4.0
A/NEW_JERSEY/8/1976,A/CALIFORNIA/07/2009_IVR153,4.0
A/NEW_JERSEY/8/1976,A/NARITA/1/2009,4.0
A/NEW_JERSEY/8/1976,A/BRISBANE/59/2007,22.627416998
A/NEW_JERSEY/8/1976,A/OHIO/2/2007,1.41421356237
A/SWINE/IOWA/1930,A/OHIO/2/2007,64.0
A/SWINE/IOWA/1930,A/CALIFORNIA/04/2009,90.5096679919
A/SWINE/IOWA/1930,A/CALIFORNIA/05/2009,90.5096679919
A/NEW_JERSEY/8/1976,A/CALIFORNIA/05/2009,22.627416998
A/SWINE/IOWA/1930,A/CALIFORNIA/08/2009,32.0
A/SWINE/IOWA/1930,A/CALIFORNIA/07/2009_X_179A,128.0
A/SWINE/IOWA/1930,A/TEXAS/5/2009_RG15,90.5096679919
A/SWINE/IOWA/1930,A/MEXICO/24001/2009,32.0
A/SWINE/IOWA/1930,A/BRISBANE/59/2007,64.0
A/PUERTO_RICO/8/1934,A/WEISS/1943,11.313708499
A/PUERTO_RICO/8/1934,A/CAMERON/1946,256.0
A/PUERTO_RICO/8/1934,A/FORT_MONMOUTH/1/1947,128.0
A/PUERTO_RICO/8/1934,A/FORT_WARREN/1/50,22.627416998
A/PUERTO_RICO/8/1934,A/FORT_LEONARD_WOOD/1/51,128.0
A/PUERTO_RICO/8/1934,A/DENVER/1/57,128.0
A/WEISS/1943,A/CAMERON/1946,22.627416998
A/WEISS/1943,A/FORT_MONMOUTH/1/1947,16.0
A/WEISS/1943,A/FORT_WARREN/1/50,22.627416998
A/WEISS/1943,A/FORT_LEONARD_WOOD/1/51,64.0
A/WEISS/1943,A/DENVER/1/57,181.019335984
A/CAMERON/1946,A/FORT_MONMOUTH/1/1947,8.0
A/CAMERON/1946,A/FORT_WARREN/1/50,16.0
