Strain1,Strain2,Distance
A/turkey/Turkey/1/2005_NIBRG-23,A/common_magpie/Hong_Kong/5052/2007,2.828427125
A/turkey/Turkey/1/2005_NIBRG-23,A/Hubei/1/2010_(IDCDC-RG30),5.656854249
A/turkey/Turkey/1/2005_NIBRG-23,A/duck/Bangladesh/19097/2013_(SJ007),5.656854249
A/turkey/Turkey/1/2005_NIBRG-23,A/barn_swallow/Hong_Kong/D10-1161/2010_(SJ003),2
A/common_magpie/Hong_Kong/5052/2007,A/Hubei/1/2010_(IDCDC-RG30),2
A/common_magpie/Hong_Kong/5052/2007,A/duck/Bangladesh/19097/2013_(SJ007),2
A/common_magpie/Hong_Kong/5052/2007,A/barn_swallow/Hong_Kong/D10-1161/2010_(SJ003),1
A/Hubei/1/2010_(IDCDC-RG30),A/duck/Bangladesh/19097/2013_(SJ007),8
A/Hubei/1/2010_(IDCDC-RG30),A/barn_swallow/Hong_Kong/D10-1161/2010_(SJ003),2.828427125
A/duck/Bangladesh/19097/2013_(SJ007),A/barn_swallow/Hong_Kong/D10-1161/2010_(SJ003),2.828427125
A/peregrine_falcon/Hong_Kong/2142/2008_(H5N1),A/muscovy_duck/Viet_Nam/1/2009_(H5N1),4
A/Hubei/1/2010_(IDCDC-RG30),A/barn_swallow/Hong_Kong/1161/2010_(SJ003),4
A/Hubei/1/2010_(IDCDC-RG30),A/duck/Viet_Nam/NCVD-1584/2012_(NIBRG-,1
A/Hubei/1/2010_(IDCDC-RG30),A/Hong_Kong/6841/2010,2
A/Hubei/1/2010_(IDCDC-RG30),A/common_magpie/Hong_Kong/5052/2007,4
A/barn_swallow/Hong_Kong/1161/2010_(SJ003),A/duck/Viet_Nam/NCVD-1584/2012_(NIBRG-,2.828427125
A/barn_swallow/Hong_Kong/1161/2010_(SJ003),A/Hong_Kong/6841/2010,1.414213562
A/barn_swallow/Hong_Kong/1161/2010_(SJ003),A/common_magpie/Hong_Kong/5052/2007,2
A/duck/Viet_Nam/NCVD-1584/2012_(NIBRG-,A/Hong_Kong/6841/2010,1.414213562
A/duck/Viet_Nam/NCVD-1584/2012_(NIBRG-,A/common_magpie/Hong_Kong/5052/2007,4
A/Hong_Kong/6841/2010,A/common_magpie/Hong_Kong/5052/2007,2
A/Indonesia/5/2005,A/Indonesia/5/2005_(IBCDC-RG2),1
A/Indonesia/5/2005,A/Indonesia/NIHRD11771/2011,4
A/Indonesia/5/2005,A/Indonesia/6/2005,1.414213562
A/Indonesia/5/2005_(IBCDC-RG2),A/Indonesia/NIHRD11771/2011,11.3137085
A/Indonesia/5/2005_(IBCDC-RG2),A/Indonesia/6/2005,1.414213562
A/Indonesia/NIHRD11771/2011,A/Indonesia/6/2005,8
A/Hong_Kong/6841/2010,A/Hubei/1/2010_(RG30),2.828427125
A/Hong_Kong/6841/2010,A/chicken/Bangladesh/15205/2012,1.414213562
A/Hong_Kong/6841/2010,A/duck/Bangladesh/19097/2013,1
A/Hubei/1/2010_(RG30),A/common_magpie/Hong_Kong/5052/2007,2.828427125
A/Hubei/1/2010_(RG30),A/chicken/Bangladesh/15205/2012,4
A/Hubei/1/2010_(RG30),A/duck/Bangladesh/19097/2013,2.828427125
A/common_magpie/Hong_Kong/5052/2007,A/chicken/Bangladesh/15205/2012,5.656854249
A/common_magpie/Hong_Kong/5052/2007,A/duck/Bangladesh/19097/2013,2
A/chicken/Bangladesh/15205/2012,A/duck/Bangladesh/19097/2013,1.414213562
A/muscovy_duck/Viet_Nam/1455/2006,A/common_magpie/Hong_Kong/5052/2007,2
A/muscovy_duck/Viet_Nam/1455/2006,A/barn_swallow/Hong_Kong/1161/2010,11.3137085
